Pořadové číslo,Název obce,Počet obyvatel,ZUJ,IČO,Kategorie,Okres,ZUJ okres,Kraj,Základní působnost,Matriční úřad,ZUJ MÚ,Stavební úřad,ZUJ SÚ,POÚ,ZUJ POÚ,ORP,ZUJ ORP,VÚ,SM,ZP,MÚ,SÚ,PÚ,RP,OK,F2,F3,Vidimace,Czech POINT,SO MÚ,SO SÚ,SO POÚ,SO ORP,Počet obyvatel okresu,Počet obcí MÚ,Počet obcí SÚ,Počet obcí POÚ,Počet obcí ORP,Počet obcí okresu,NUTS 2,Poznámka 1
1,Abertamy,1236,554979,00254398,město,Karlovy Vary,554961,Karlovarský kraj,Abertamy,Pernink,555452,Pernink,555452,Ostrov,555428,Ostrov,555428,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
2,Adamov,699,535826,00581160,obec,České Budějovice,544256,Jihočeský kraj,Adamov,Rudolfov,544981,Rudolfov,544981,České Budějovice,544256,České Budějovice,544256,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
3,Adamov,105,531367,00639664,obec,Kutná Hora,533955,Středočeský kraj,Adamov,Tupadly,534480,Čáslav,534005,Čáslav,534005,Čáslav,534005,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
4,Adamov,4591,581291,00279889,město,Blansko,581283,Jihomoravský kraj,Adamov,Adamov,581291,Adamov,581291,Adamov,581291,Blansko,581283,0,0,1,1,1,1,0,0,0,0,1,1,4591,4591,4591,,,1,1,1,,,Jihovýchod,matrika
5,Adršpach,517,547786,00653560,obec,Náchod,573868,Královéhradecký kraj,Adršpach,Teplice nad Metují,574538,Teplice nad Metují,574538,Teplice nad Metují,574538,Broumov,573922,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
6,Albrechtice,3928,598925,00297429,obec,Karviná,598917,Moravskoslezský kraj,Albrechtice,Albrechtice,598925,Albrechtice,598925,Havířov,555088,Havířov,555088,0,0,1,1,1,0,0,0,0,0,1,1,3928,3928,,,,1,1,,,,Moravskoslezsko,matrika
7,Albrechtice,478,547981,00581003,obec,Ústí nad Orlicí,579891,Pardubický kraj,Albrechtice,Lanškroun,580511,Lanškroun,580511,Lanškroun,580511,Lanškroun,580511,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
8,Albrechtice nad Orlicí,1007,576077,00579106,obec,Rychnov nad Kněžnou,576069,Královéhradecký kraj,Albrechtice nad Orlicí,Týniště nad Orlicí,576859,Týniště nad Orlicí,576859,Týniště nad Orlicí,576859,Kostelec nad Orlicí,576361,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
9,Albrechtice nad Vltavou,836,549258,00249521,obec,Písek,549240,Jihočeský kraj,Albrechtice nad Vltavou,Písek,549240,Písek,549240,Písek,549240,Písek,549240,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
10,Albrechtice v Jizerských horách,344,563528,00262277,obec,Jablonec nad Nisou,563510,Liberecký kraj,Albrechtice v Jizerských horách,Smržovka,563811,Tanvald,563820,Tanvald,563820,Tanvald,563820,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
11,Albrechtičky,701,568741,00600814,obec,Nový Jičín,599191,Moravskoslezský kraj,Albrechtičky,Studénka,599921,Studénka,599921,Studénka,599921,Bílovec,599247,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
12,Alojzov,232,506761,00488542,obec,Prostějov,589250,Olomoucký kraj,Alojzov,Určice,590126,Prostějov,589250,Prostějov,589250,Prostějov,589250,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
13,Andělská Hora,294,538001,00573175,obec,Karlovy Vary,554961,Karlovarský kraj,Andělská Hora,Karlovy Vary,554961,Karlovy Vary,554961,Karlovy Vary,554961,Karlovy Vary,554961,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
14,Andělská Hora,382,551929,00575976,obec,Bruntál,597180,Moravskoslezský kraj,Andělská Hora,Světlá Hora,597872,Bruntál,597180,Bruntál,597180,Bruntál,597180,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
15,Anenská Studánka,200,573426,00580988,obec,Ústí nad Orlicí,579891,Pardubický kraj,Anenská Studánka,Lanškroun,580511,Lanškroun,580511,Lanškroun,580511,Lanškroun,580511,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Severovýchod,bez czech pointu
16,Archlebov,875,586030,00284751,obec,Hodonín,586021,Jihomoravský kraj,Archlebov,Ždánice,586803,Ždánice,586803,Ždánice,586803,Kyjov,586307,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
17,Arneštovice,86,509388,00475858,obec,Pelhřimov,547492,Kraj Vysočina,Arneštovice,Košetice,548171,Pelhřimov,547492,Pelhřimov,547492,Pelhřimov,547492,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
18,Arnolec,166,586854,00373613,obec,Jihlava,586846,Kraj Vysočina,Arnolec,Jamné,587249,Polná,587711,Polná,587711,Jihlava,586846,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
19,Arnoltice,384,562343,00261173,obec,Děčín,562335,Ústecký kraj,Arnoltice,Děčín,562335,Děčín,562335,Děčín,562335,Děčín,562335,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
20,Aš,13076,554499,00253901,město,Cheb,554481,Karlovarský kraj,Aš,Aš,554499,Aš,554499,Aš,554499,Aš,554499,0,0,1,1,1,1,1,0,0,0,1,1,13794,15984,17612,17612,,3,4,5,5,,Severozápad,matrika
21,Babice,1809,592013,00290777,obec,Uherské Hradiště,592005,Zlínský kraj,Babice,Babice,592013,Uherské Hradiště,592005,Uherské Hradiště,592005,Uherské Hradiště,592005,0,0,1,1,0,0,0,0,0,0,1,1,4358,,,,,4,,,,,Střední Morava,matrika
22,Babice,96,537241,00582964,obec,Prachatice,550094,Jihočeský kraj,Babice,Netolice,550442,Netolice,550442,Netolice,550442,Prachatice,550094,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
23,Babice,864,538043,00240028,obec,Praha-východ,999001,Středočeský kraj,Babice,Říčany,538728,Říčany,538728,Říčany,538728,Říčany,538728,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
24,Babice,463,552356,00635260,obec,Olomouc,500496,Olomoucký kraj,Babice,Šternberk,505188,Šternberk,505188,Šternberk,505188,Šternberk,505188,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
25,Babice,209,590274,00375357,obec,Třebíč,590266,Kraj Vysočina,Babice,Moravské Budějovice,591181,Moravské Budějovice,591181,Moravské Budějovice,591181,Moravské Budějovice,591181,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
26,Babice,205,569828,45978484,obec,Hradec Králové,569810,Královéhradecký kraj,Babice,Nový Bydžov,570508,Chlumec nad Cidlinou,570109,Nový Bydžov,570508,Nový Bydžov,570508,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
27,Babice nad Svitavou,1067,582794,00281557,obec,Brno-venkov,777001,Jihomoravský kraj,Babice nad Svitavou,Bílovice nad Svitavou,582824,Bílovice nad Svitavou,582824,Šlapanice,583952,Šlapanice,583952,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
28,Babice u Rosic,710,582808,00362531,obec,Brno-venkov,777001,Jihomoravský kraj,Babice u Rosic,Zbýšov,584223,Zbýšov,584223,Rosice,583782,Rosice,583782,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
29,Babylon,296,553433,00572551,obec,Domažlice,553425,Plzeňský kraj,Babylon,Domažlice,553425,Domažlice,553425,Domažlice,553425,Domažlice,553425,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
30,Bácovice,81,561118,00512231,obec,Pelhřimov,547492,Kraj Vysočina,Bácovice,Červená Řečice,547778,Pelhřimov,547492,Pelhřimov,547492,Pelhřimov,547492,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihovýchod,bez czech pointu
31,Bačalky,143,553701,60114525,obec,Jičín,572659,Královéhradecký kraj,Bačalky,Libáň,573108,Libáň,573108,Kopidlno,573060,Jičín,572659,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Severovýchod,bez czech pointu
32,Bačetín,406,576085,00274682,obec,Rychnov nad Kněžnou,576069,Královéhradecký kraj,Bačetín,Dobruška,576271,Dobruška,576271,Dobruška,576271,Dobruška,576271,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
33,Bačice,197,590282,00375365,obec,Třebíč,590266,Kraj Vysočina,Bačice,Hrotovice,590673,Hrotovice,590673,Hrotovice,590673,Třebíč,590266,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
34,Bačkov,133,546194,00579777,obec,Havlíčkův Brod,568414,Kraj Vysočina,Bačkov,Habry,568651,Habry,568651,Havlíčkův Brod,568414,Havlíčkův Brod,568414,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
35,Bačkovice,118,544833,48527408,obec,Třebíč,590266,Kraj Vysočina,Bačkovice,Jemnice,590789,Jemnice,590789,Jemnice,590789,Moravské Budějovice,591181,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
36,Bakov nad Jizerou,5040,535427,00237418,město,Mladá Boleslav,535419,Středočeský kraj,Bakov nad Jizerou,Bakov nad Jizerou,535427,Bakov nad Jizerou,535427,Mladá Boleslav,535419,Mladá Boleslav,535419,0,0,1,1,1,0,0,0,0,0,1,1,5639,5639,,,,3,3,,,,Střední Čechy,matrika
37,Baliny,120,595217,00842401,obec,Žďár nad Sázavou,595209,Kraj Vysočina,Baliny,Velké Meziříčí,597007,Velké Meziříčí,597007,Velké Meziříčí,597007,Velké Meziříčí,597007,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
38,Balkova Lhota,129,563251,00512516,obec,Tábor,552046,Jihočeský kraj,Balkova Lhota,Tábor,552046,Tábor,552046,Tábor,552046,Tábor,552046,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
39,Banín,328,572560,00579441,obec,Svitavy,577731,Pardubický kraj,Banín,Brněnec,577863,Březová nad Svitavou,505145,Svitavy,577731,Svitavy,577731,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
40,Bánov,2133,592021,00290785,obec,Uherské Hradiště,592005,Zlínský kraj,Bánov,Bánov,592021,Uherský Brod,592731,Uherský Brod,592731,Uherský Brod,592731,0,0,1,1,0,0,0,0,0,0,1,1,4052,,,,,3,,,,,Střední Morava,matrika
41,Báňovice,108,562726,00512915,obec,Jindřichův Hradec,545881,Jihočeský kraj,Báňovice,Dačice,546127,Dačice,546127,Dačice,546127,Dačice,546127,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
42,Bantice,288,593729,00600113,obec,Znojmo,593711,Jihomoravský kraj,Bantice,Prosiměřice,594709,Prosiměřice,594709,Znojmo,593711,Znojmo,593711,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
43,Barchov,330,569836,00268593,obec,Hradec Králové,569810,Královéhradecký kraj,Barchov,Nový Bydžov,570508,Nový Bydžov,570508,Nový Bydžov,570508,Nový Bydžov,570508,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
44,Barchov,183,574724,00273317,obec,Pardubice,555134,Pardubický kraj,Barchov,Pardubice,555134,Pardubice,555134,Pardubice,555134,Pardubice,555134,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Severovýchod,bez czech pointu
45,Barchovice,200,533173,00235237,obec,Kolín,533165,Středočeský kraj,Barchovice,Zásmuky,533921,Kouřim,533424,Kouřim,533424,Kolín,533165,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
46,Bartošovice,1674,599212,00297721,obec,Nový Jičín,599191,Moravskoslezský kraj,Bartošovice,Bartošovice,599212,Studénka,599921,Nový Jičín,599191,Nový Jičín,599191,0,0,1,1,0,0,0,0,0,0,1,1,3118,,,,,2,,,,,Moravskoslezsko,matrika
47,Bartošovice v Orlických horách,219,576093,00274691,obec,Rychnov nad Kněžnou,576069,Královéhradecký kraj,Bartošovice v Orlických horách,Rokytnice v Orlických horách,576701,Rokytnice v Orlických horách,576701,Rokytnice v Orlických horách,576701,Rychnov nad Kněžnou,576069,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
48,Bartoušov,162,548260,00579785,obec,Havlíčkův Brod,568414,Kraj Vysočina,Bartoušov,Havlíčkův Brod,568414,Havlíčkův Brod,568414,Havlíčkův Brod,568414,Havlíčkův Brod,568414,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
49,Bařice-Velké Těšany,445,588300,00287024,obec,Kroměříž,588296,Zlínský kraj,Bařice-Velké Těšany,Kroměříž,588296,Kroměříž,588296,Kroměříž,588296,Kroměříž,588296,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
50,Baška,3714,598011,00296511,obec,Frýdek-Místek,598003,Moravskoslezský kraj,Baška,Frýdek-Místek,598003,Frýdek-Místek,598003,Frýdek-Místek,598003,Frýdek-Místek,598003,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
51,Bašnice,184,572667,00271314,obec,Jičín,572659,Královéhradecký kraj,Bašnice,Hořice,572926,Hořice,572926,Hořice,572926,Hořice,572926,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
52,Bašť,1763,538051,00240036,obec,Praha-východ,999001,Středočeský kraj,Bašť,Líbeznice,538442,Líbeznice,538442,Odolena Voda,538574,Brandýs nad Labem-Stará Boleslav,538094,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
53,Batelov,2324,586862,00285595,městys,Jihlava,586846,Kraj Vysočina,Batelov,Batelov,586862,Batelov,586862,Třešť,588032,Jihlava,586846,0,0,1,1,1,0,0,0,0,0,1,1,2398,5262,,,,2,9,,,,Jihovýchod,matrika
54,Batňovice,750,579041,00277657,obec,Trutnov,579025,Královéhradecký kraj,Batňovice,Úpice,579777,Rtyně v Podkrkonoší,579637,Úpice,579777,Trutnov,579025,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
55,Bavorov,1569,550809,00250945,město,Strakonice,550787,Jihočeský kraj,Bavorov,Bavorov,550809,Vodňany,551953,Vodňany,551953,Vodňany,551953,0,0,1,1,0,0,0,0,0,0,1,1,2064,,,,,7,,,,,Jihozápad,matrika
56,Bavory,403,584304,00600148,obec,Břeclav,584291,Jihomoravský kraj,Bavory,Mikulov,584649,Mikulov,584649,Mikulov,584649,Mikulov,584649,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
57,Bavoryně,232,534421,00509612,obec,Beroun,531057,Středočeský kraj,Bavoryně,Zdice,532011,Zdice,532011,Beroun,531057,Beroun,531057,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
58,Bdeněves,652,566756,00573001,obec,Plzeň-sever,888002,Plzeňský kraj,Bdeněves,Město Touškov,559211,Město Touškov,559211,Město Touškov,559211,Nýřany,559300,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
59,Bdín,62,565423,00639770,obec,Rakovník,541656,Středočeský kraj,Bdín,Mšec,542105,Nové Strašecí,542164,Nové Strašecí,542164,Rakovník,541656,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
60,Bečice,93,536156,00581178,obec,České Budějovice,544256,Jihočeský kraj,Bečice,Týn nad Vltavou,545201,Týn nad Vltavou,545201,Týn nad Vltavou,545201,Týn nad Vltavou,545201,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
61,Bečice,74,563366,00512524,obec,Tábor,552046,Jihočeský kraj,Bečice,Malšice,552666,Tábor,552046,Tábor,552046,Tábor,552046,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihozápad,bez czech pointu
62,Bečov,1603,567043,00265811,obec,Most,567027,Ústecký kraj,Bečov,Bečov,567043,Most,567027,Most,567027,Most,567027,0,0,1,1,0,0,0,0,0,0,1,1,2333,,,,,5,,,,,Severozápad,matrika
63,Bečov nad Teplou,965,554995,00254410,město,Karlovy Vary,554961,Karlovarský kraj,Bečov nad Teplou,Bečov nad Teplou,554995,Toužim,555657,Toužim,555657,Karlovy Vary,554961,0,0,1,1,0,0,0,0,0,0,1,1,1190,,,,,3,,,,,Severozápad,matrika
64,Bečváry,1014,533181,00235245,obec,Kolín,533165,Středočeský kraj,Bečváry,Zásmuky,533921,Zásmuky,533921,Kolín,533165,Kolín,533165,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
65,Bedihošť,1032,589268,00288004,obec,Prostějov,589250,Olomoucký kraj,Bedihošť,Bedihošť,589268,Prostějov,589250,Prostějov,589250,Prostějov,589250,0,0,1,1,0,0,0,0,0,0,1,1,2537,,,,,4,,,,,Střední Morava,matrika
66,Bednárec,111,562548,00512923,obec,Jindřichův Hradec,545881,Jihočeský kraj,Bednárec,Jindřichův Hradec,545881,Nová Včelnice,546801,Jindřichův Hradec,545881,Jindřichův Hradec,545881,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
67,Bednáreček,197,561053,00666874,obec,Jindřichův Hradec,545881,Jihočeský kraj,Bednáreček,Jindřichův Hradec,545881,Jindřichův Hradec,545881,Jindřichův Hradec,545881,Jindřichův Hradec,545881,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihozápad,vyhláška
68,Bedřichov,330,563536,00525511,obec,Jablonec nad Nisou,563510,Liberecký kraj,Bedřichov,Jablonec nad Nisou,563510,Jablonec nad Nisou,563510,Jablonec nad Nisou,563510,Jablonec nad Nisou,563510,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
69,Bedřichov,247,581313,00636665,obec,Blansko,581283,Jihomoravský kraj,Bedřichov,Lysice,582018,Lysice,582018,Boskovice,581372,Boskovice,581372,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihovýchod,bez czech pointu
70,Běhařov,205,541842,00573507,obec,Klatovy,555771,Plzeňský kraj,Běhařov,Janovice nad Úhlavou,556394,Klatovy,555771,Klatovy,555771,Klatovy,555771,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihozápad,bez czech pointu
71,Běhařovice,395,593737,00292478,městys,Znojmo,593711,Jihomoravský kraj,Běhařovice,Mikulovice,594431,Višňové,595071,Znojmo,593711,Znojmo,593711,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihovýchod,vyhláška
72,Běchary,253,572675,00271322,obec,Jičín,572659,Královéhradecký kraj,Běchary,Kopidlno,573060,Kopidlno,573060,Kopidlno,573060,Jičín,572659,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
73,Bechlín,1257,564575,00263346,obec,Litoměřice,564567,Ústecký kraj,Bechlín,Roudnice nad Labem,565555,Roudnice nad Labem,565555,Roudnice nad Labem,565555,Roudnice nad Labem,565555,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Severozápad,bez czech pointu
74,Bechyně,5255,552054,00252069,město,Tábor,552046,Jihočeský kraj,Bechyně,Bechyně,552054,Bechyně,552054,Bechyně,552054,Tábor,552046,0,0,1,1,1,1,0,0,0,0,1,1,7154,7154,7154,,,11,11,11,,,Jihozápad,matrika
75,Bělá,258,576972,00275603,obec,Semily,576964,Liberecký kraj,Bělá,Libštát,577294,Semily,576964,Lomnice nad Popelkou,577308,Semily,576964,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
76,Bělá,662,512974,00534650,obec,Opava,505927,Moravskoslezský kraj,Bělá,Píšť,509647,Bolatice,506214,Hlučín,507016,Hlučín,507016,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
77,Bělá,51,561126,00512249,obec,Pelhřimov,547492,Kraj Vysočina,Bělá,Horní Cerekev,547913,Horní Cerekev,547913,Pelhřimov,547492,Pelhřimov,547492,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
78,Bělá,212,573566,00179612,obec,Havlíčkův Brod,568414,Kraj Vysočina,Bělá,Ledeč nad Sázavou,568988,Ledeč nad Sázavou,568988,Ledeč nad Sázavou,568988,Světlá nad Sázavou,569569,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihovýchod,bez czech pointu
79,Bělá nad Radbuzou,1764,553441,00253235,město,Domažlice,553425,Plzeňský kraj,Bělá nad Radbuzou,Bělá nad Radbuzou,553441,Poběžovice,554111,Poběžovice,554111,Domažlice,553425,0,0,1,1,0,0,0,0,0,0,1,1,1764,,,,,1,,,,,Jihozápad,matrika
80,Bělá nad Svitavou,522,572586,00579459,obec,Svitavy,577731,Pardubický kraj,Bělá nad Svitavou,Brněnec,577863,Březová nad Svitavou,505145,Svitavy,577731,Svitavy,577731,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
81,Bělá pod Bezdězem,4879,535443,00237434,město,Mladá Boleslav,535419,Středočeský kraj,Bělá pod Bezdězem,Bělá pod Bezdězem,535443,Bělá pod Bezdězem,535443,Bělá pod Bezdězem,535443,Mladá Boleslav,535419,0,0,1,1,1,1,0,0,0,0,1,1,6183,6183,6183,,,4,4,4,,,Střední Čechy,matrika
82,Bělá pod Pradědem,1819,523917,00302333,obec,Jeseník,536385,Olomoucký kraj,Bělá pod Pradědem,Jeseník,536385,Jeseník,536385,Jeseník,536385,Jeseník,536385,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
83,Bělá u Jevíčka,350,505391,00484164,obec,Svitavy,577731,Pardubický kraj,Bělá u Jevíčka,Jevíčko,578193,Jevíčko,578193,Jevíčko,578193,Moravská Třebová,578444,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,Severovýchod,bez czech pointu
84,Bělčice,1017,550817,00250953,obec,Strakonice,550787,Jihočeský kraj,Bělčice,Bělčice,550817,Blatná,550850,Blatná,550850,Blatná,550850,0,0,1,1,0,0,0,0,0,0,1,1,1392,,,,,5,,,,,Jihozápad,matrika
85,Běleč,177,560448,00582506,obec,Tábor,552046,Jihočeský kraj,Běleč,Mladá Vožice,552704,Mladá Vožice,552704,Mladá Vožice,552704,Tábor,552046,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Jihozápad,bez czech pointu
86,Běleč,329,535010,00640263,obec,Kladno,532053,Středočeský kraj,Běleč,Kamenné Žehrovice,532452,Kladno,532053,Kladno,532053,Kladno,532053,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
87,Běleč,192,581321,00532070,obec,Brno-venkov,777001,Jihomoravský kraj,Běleč,Lomnice,581976,Lomnice,581976,Tišnov,584002,Tišnov,584002,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Jihovýchod,vyhláška
88,Běleč nad Orlicí,292,569852,00268615,obec,Hradec Králové,569810,Královéhradecký kraj,Běleč nad Orlicí,Třebechovice pod Orebem,571041,Třebechovice pod Orebem,571041,Třebechovice pod Orebem,571041,Hradec Králové,569810,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Severovýchod,bez czech pointu
89,Bělkovice-Lašťany,2176,500526,00298654,obec,Olomouc,500496,Olomoucký kraj,Bělkovice-Lašťany,Dolany,501646,Dolany,501646,Olomouc,500496,Olomouc,500496,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
90,Běloky,165,532070,00234125,obec,Kladno,532053,Středočeský kraj,Běloky,Kladno,532053,Kladno,532053,Kladno,532053,Kladno,532053,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Střední Čechy,bez czech pointu
91,Bělotín,1827,512231,00301019,obec,Přerov,511382,Olomoucký kraj,Bělotín,Bělotín,512231,Hranice,513750,Hranice,513750,Hranice,513750,0,0,1,1,0,0,0,0,0,0,1,1,2100,,,,,2,,,,,Střední Morava,matrika
92,Bělov,295,588318,00287032,obec,Zlín,585068,Zlínský kraj,Bělov,Otrokovice,585599,Otrokovice,585599,Otrokovice,585599,Otrokovice,585599,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Morava,vyhláška
93,Bělušice,268,533190,00235253,obec,Kolín,533165,Středočeský kraj,Bělušice,Týnec nad Labem,533807,Týnec nad Labem,533807,Týnec nad Labem,533807,Kolín,533165,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Střední Čechy,vyhláška
94,Bělušice,214,567051,00265829,obec,Most,567027,Ústecký kraj,Bělušice,Bečov,567043,Most,567027,Most,567027,Most,567027,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
95,Benátky,109,569861,00653306,obec,Hradec Králové,569810,Královéhradecký kraj,Benátky,Smiřice,570877,Hradec Králové,569810,Hradec Králové,569810,Hradec Králové,569810,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Severovýchod,bez czech pointu
96,Benátky,366,577774,00276375,obec,Svitavy,577731,Pardubický kraj,Benátky,Litomyšl,578347,Litomyšl,578347,Litomyšl,578347,Litomyšl,578347,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
97,Benátky nad Jizerou,7395,535451,00237442,město,Mladá Boleslav,535419,Středočeský kraj,Benátky nad Jizerou,Benátky nad Jizerou,535451,Benátky nad Jizerou,535451,Benátky nad Jizerou,535451,Mladá Boleslav,535419,0,0,1,1,1,1,0,0,0,0,1,1,11624,13820,11624,,,11,15,11,,,Střední Čechy,matrika
98,Benecko,1126,576981,00275581,obec,Semily,576964,Liberecký kraj,Benecko,Jilemnice,577197,Jilemnice,577197,Jilemnice,577197,Jilemnice,577197,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
99,Benešov,16541,529303,00231401,město,Benešov,529303,Středočeský kraj,Benešov,Benešov,529303,Benešov,529303,Benešov,529303,Benešov,529303,0,0,1,1,1,1,1,1,0,0,1,1,24853,29810,42102,57815,95883,15,24,35,51,114,Střední Čechy,matrika
